,ZAF
2019-08-01,6.46
2019-09-01,13.52
2019-10-01,20.0
2019-11-01,79.0
2019-12-01,121.38
2020-01-01,102.7
2020-02-01,100.52
2020-03-01,62.72
2020-04-01,77.89
2020-05-01,4.819999999999999
2020-06-01,14.66
2020-07-01,9.76
2020-08-01,12.09
2020-09-01,17.96
2020-10-01,62.760000000000005
2020-11-01,112.31
2020-12-01,116.27
2021-01-01,186.45
2021-02-01,138.13
2021-03-01,55.57
2021-04-01,29.619999999999997
2021-05-01,16.26
2021-06-01,21.85
2021-07-01,8.63
2021-08-01,27.32
2021-09-01,27.39
2021-10-01,69.78999999999999
2021-11-01,80.8
2021-12-01,185.38
2022-01-01,117.62
2022-02-01,60.74
2022-03-01,93.66
2022-04-01,132.79999999999998
2022-05-01,38.94
2022-06-01,18.39
2022-07-01,8.870000000000001
2022-08-01,13.51
2022-09-01,22.07
2022-10-01,63.44
2022-11-01,136.84
2022-12-01,137.57
2023-01-01,69.72
2023-02-01,151.67000000000002
2023-03-01,48.78
2023-04-01,22.39
2023-05-01,59.23
2023-06-01,22.24
2023-07-01,15.28
2023-08-01,6.82
2023-09-01,29.91
2023-10-01,68.95
2023-11-01,39.43
2023-12-01,127.56
2024-01-01,97.8
2024-02-01,43.660000000000004
2024-03-01,40.11
2024-04-01,64.27
2024-05-01,5.04
2024-06-01,23.630000000000003
2024-07-01,18.15
2024-08-01,12.61
2024-09-01,39.58
2024-10-01,46.35
2024-11-01,75.21000000000001
2024-12-01,86.25
2025-01-01,129.23
2025-02-01,155.24
2025-03-01,102.43
2025-04-01,131.63
2025-05-01,10.42
2025-06-01,21.22
2025-07-01,17.41
2025-08-01,15.059999999999999
2025-09-01,41.92
2025-10-01,55.5
2025-11-01,135.35999999999999
2025-12-01,117.71000000000001
