,ZAF
2013-03-01,65.18
2013-04-01,72.66000000000001
2013-05-01,24.740000000000002
2013-06-01,27.64
2013-07-01,19.05
2013-08-01,38.69
2013-09-01,23.990000000000002
2013-10-01,78.14
2013-11-01,80.82
2013-12-01,135.62
2014-01-01,77.01
2014-02-01,96.62
2014-03-01,140.34
2014-04-01,36.13
2014-05-01,18.37
2014-06-01,19.6
2014-07-01,18.83
2014-08-01,27.419999999999998
2014-09-01,24.27
2014-10-01,47.61
2014-11-01,101.74
2014-12-01,129.25
2015-01-01,70.22
2015-02-01,63.18
2015-03-01,62.63
2015-04-01,45.22
2015-05-01,9.8
2015-06-01,23.52
2015-07-01,44.66
2015-08-01,14.56
2015-09-01,44.47
2015-10-01,27.32
2015-11-01,56.05
2015-12-01,64.25
2016-01-01,91.61
2016-02-01,71.32
2016-03-01,97.99
2016-04-01,38.82
2016-05-01,27.88
2016-06-01,26.38
2016-07-01,49.510000000000005
2016-08-01,16.77
2016-09-01,35.65
2016-10-01,47.94
2016-11-01,93.1
2016-12-01,78.4
2017-01-01,143.48999999999998
2017-02-01,144.33
2017-03-01,37.16
2017-04-01,42.48
2017-05-01,50.68
2017-06-01,16.18
2017-07-01,10.67
2017-08-01,23.75
2017-09-01,24.68
2017-10-01,83.42999999999999
2017-11-01,79.65
2017-12-01,92.38
2018-01-01,55.65
2018-02-01,84.28
2018-03-01,120.37
2018-04-01,48.77
2018-05-01,37.050000000000004
2018-06-01,17.5
2018-07-01,17.2
2018-08-01,29.3
2018-09-01,33.36
2018-10-01,41.62
2018-11-01,43.09
2018-12-01,92.66
2019-01-01,83.27
2019-02-01,105.18
2019-03-01,56.03
2019-04-01,90.46
2019-05-01,13.370000000000001
2019-06-01,14.38
2019-07-01,17.84
2019-08-01,12.29
2019-09-01,19.27
2019-10-01,33.27
2019-11-01,101.77
2019-12-01,122.64
2020-01-01,103.28
2020-02-01,112.01
2020-03-01,55.73
2020-04-01,79.86
2020-05-01,9.58
2020-06-01,19.77
2020-07-01,16.49
2020-08-01,21.51
2020-09-01,26.98
2020-10-01,71.13
2020-11-01,99.55
2020-12-01,111.01
2021-01-01,169.82
2021-02-01,137.98
2021-03-01,61.33
2021-04-01,33.28
2021-05-01,25.77
2021-06-01,33.07
2021-07-01,14.92
2021-08-01,29.91
2021-09-01,33.32
2021-10-01,69.98
2021-11-01,80.56
2021-12-01,170.44
2022-01-01,105.88
2022-02-01,68.28
2022-03-01,90.4
2022-04-01,169.3
2022-05-01,57.77
2022-06-01,24.47
2022-07-01,13.48
2022-08-01,20.4
2022-09-01,28.36
2022-10-01,55.32
2022-11-01,115.97
2022-12-01,137.16
2023-01-01,67.08
2023-02-01,161.42
2023-03-01,49.31
2023-04-01,28.21
2023-05-01,77.66
2023-06-01,33.75
2023-07-01,23.97
2023-08-01,14.35
2023-09-01,41.55
2023-10-01,83.62
2023-11-01,40.32
2023-12-01,123.94
2024-01-01,103.03
2024-02-01,41.97
2024-03-01,46.36
2024-04-01,70.63
2024-05-01,8.48
2024-06-01,31.13
2024-07-01,37.48
2024-08-01,22.03
2024-09-01,47.67
2024-10-01,52.26
2024-11-01,71.22
2024-12-01,84.32
2025-01-01,158.91
2025-02-01,172.61
2025-03-01,105.6
2025-04-01,114.84
2025-05-01,16.44
2025-06-01,30.21
2025-07-01,25.82
2025-08-01,18.89
2025-09-01,44.2
2025-10-01,57.42
2025-11-01,123.66
2025-12-01,125.4
