,month,gadm0,pre
562,2008-11-01,AFG,14.65
563,2008-12-01,AFG,44.89
564,2009-01-01,AFG,64.91
565,2009-02-01,AFG,69.77
566,2009-03-01,AFG,62.73
567,2009-04-01,AFG,114.37
568,2009-05-01,AFG,53.62
569,2009-06-01,AFG,23.73
570,2009-07-01,AFG,9.15
571,2009-08-01,AFG,8.44
572,2009-09-01,AFG,7.72
573,2009-10-01,AFG,7.73
574,2009-11-01,AFG,43.99
575,2009-12-01,AFG,47.52
576,2010-01-01,AFG,33.15
577,2010-02-01,AFG,103.44
578,2010-03-01,AFG,48.01
579,2010-04-01,AFG,52.47
580,2010-05-01,AFG,60.91
581,2010-06-01,AFG,19.76
582,2010-07-01,AFG,36.14
583,2010-08-01,AFG,31.41
584,2010-09-01,AFG,11.21
585,2010-10-01,AFG,6.91
586,2010-11-01,AFG,3.94
587,2010-12-01,AFG,5.07
588,2011-01-01,AFG,28.06
589,2011-02-01,AFG,110.8
590,2011-03-01,AFG,48.87
591,2011-04-01,AFG,40.99
592,2011-05-01,AFG,21.62
593,2011-06-01,AFG,7.03
594,2011-07-01,AFG,13.92
595,2011-08-01,AFG,19.75
596,2011-09-01,AFG,10.3
597,2011-10-01,AFG,34.28
598,2011-11-01,AFG,66.34
599,2011-12-01,AFG,12.14
600,2012-01-01,AFG,56.43
601,2012-02-01,AFG,86.42
602,2012-03-01,AFG,58.17
603,2012-04-01,AFG,72.43
604,2012-05-01,AFG,41.77
605,2012-06-01,AFG,12.89
606,2012-07-01,AFG,7.79
607,2012-08-01,AFG,15.17
608,2012-09-01,AFG,20.89
609,2012-10-01,AFG,14.85
610,2012-11-01,AFG,31.8
611,2012-12-01,AFG,53.1
612,2013-01-01,AFG,30.7
613,2013-02-01,AFG,89.29
614,2013-03-01,AFG,64.04
615,2013-04-01,AFG,74.35
616,2013-05-01,AFG,22.63
617,2013-06-01,AFG,16.37
618,2013-07-01,AFG,12.63
619,2013-08-01,AFG,27.12
620,2013-09-01,AFG,6.14
621,2013-10-01,AFG,14.15
622,2013-11-01,AFG,34.22
623,2013-12-01,AFG,32.68
624,2014-01-01,AFG,22.66
625,2014-02-01,AFG,44.81
626,2014-03-01,AFG,107.46
627,2014-04-01,AFG,77.13
628,2014-05-01,AFG,61.16
629,2014-06-01,AFG,8.04
630,2014-07-01,AFG,13.44
631,2014-08-01,AFG,11.5
632,2014-09-01,AFG,5.53
633,2014-10-01,AFG,19.08
634,2014-11-01,AFG,41.73
635,2014-12-01,AFG,14.7
636,2015-01-01,AFG,50.58
637,2015-02-01,AFG,84.39
638,2015-03-01,AFG,73.86
639,2015-04-01,AFG,53.54
640,2015-05-01,AFG,45.79
641,2015-06-01,AFG,10.33
642,2015-07-01,AFG,26.44
643,2015-08-01,AFG,15.37
644,2015-09-01,AFG,7.8
645,2015-10-01,AFG,22.26
646,2015-11-01,AFG,62.53
647,2015-12-01,AFG,26.48
648,2016-01-01,AFG,45.37
649,2016-02-01,AFG,9.23
650,2016-03-01,AFG,106.83
651,2016-04-01,AFG,81.19
652,2016-05-01,AFG,37.42
653,2016-06-01,AFG,18.99
654,2016-07-01,AFG,20.29
655,2016-08-01,AFG,12.88
656,2016-09-01,AFG,4.14
657,2016-10-01,AFG,3.8
658,2016-11-01,AFG,21.93
659,2016-12-01,AFG,19.68
660,2017-01-01,AFG,74.67
661,2017-02-01,AFG,94.97
662,2017-03-01,AFG,66.1
663,2017-04-01,AFG,44.77
664,2017-05-01,AFG,21.79
665,2017-06-01,AFG,9.46
666,2017-07-01,AFG,16.83
667,2017-08-01,AFG,12.39
668,2017-09-01,AFG,5.79
669,2017-10-01,AFG,3.37
670,2017-11-01,AFG,20.97
671,2017-12-01,AFG,11.49
672,1990-01-01,AGO,172.28
673,1990-02-01,AGO,125.35
674,1990-03-01,AGO,192.1
675,1990-04-01,AGO,88.31
676,1990-05-01,AGO,31.97
677,1990-06-01,AGO,0.83
678,1990-07-01,AGO,0.67
679,1990-08-01,AGO,1.3
680,1990-09-01,AGO,15.74
681,1990-10-01,AGO,114.19
682,1990-11-01,AGO,155.04
683,1990-12-01,AGO,140.33
684,1991-01-01,AGO,131.34
685,1991-02-01,AGO,104.92
686,1991-03-01,AGO,184.48
687,1991-04-01,AGO,93.75
688,1991-05-01,AGO,26.37
689,1991-06-01,AGO,2.12
690,1991-07-01,AGO,0.91
691,1991-08-01,AGO,2.08
692,1991-09-01,AGO,23.38
693,1991-10-01,AGO,74.49
694,1991-11-01,AGO,165.03
695,1991-12-01,AGO,177.14
696,1992-01-01,AGO,205.88
697,1992-02-01,AGO,172.4
698,1992-03-01,AGO,150.76
699,1992-04-01,AGO,83.65
700,1992-05-01,AGO,18.26
701,1992-06-01,AGO,1.81
702,1992-07-01,AGO,0.39
703,1992-08-01,AGO,2.3
704,1992-09-01,AGO,17.67
705,1992-10-01,AGO,55.07
706,1992-11-01,AGO,113.78
707,1992-12-01,AGO,82.96
708,1993-01-01,AGO,135.67
709,1993-02-01,AGO,118.49
710,1993-03-01,AGO,152.06
711,1993-04-01,AGO,140.19
712,1993-05-01,AGO,18.44
713,1993-06-01,AGO,0.96
714,1993-07-01,AGO,0.87
715,1993-08-01,AGO,4.49
716,1993-09-01,AGO,20.88
717,1993-10-01,AGO,111.29
718,1993-11-01,AGO,121.6
719,1993-12-01,AGO,194.59
720,1994-01-01,AGO,103.95
721,1994-02-01,AGO,108.93
722,1994-03-01,AGO,136.52
723,1994-04-01,AGO,118.54
724,1994-05-01,AGO,20.71
725,1994-06-01,AGO,1.66
726,1994-07-01,AGO,1.09
727,1994-08-01,AGO,3.03
728,1994-09-01,AGO,19.01
729,1994-10-01,AGO,69.02
730,1994-11-01,AGO,192.95
731,1994-12-01,AGO,194.88
732,1995-01-01,AGO,120.27
733,1995-02-01,AGO,214.14
734,1995-03-01,AGO,181.0
735,1995-04-01,AGO,87.45
736,1995-05-01,AGO,31.26
737,1995-06-01,AGO,1.04
738,1995-07-01,AGO,0.49
739,1995-08-01,AGO,4.69
740,1995-09-01,AGO,27.99
741,1995-10-01,AGO,51.0
742,1995-11-01,AGO,141.92
743,1995-12-01,AGO,115.14
744,1996-01-01,AGO,136.38
745,1996-02-01,AGO,131.55
746,1996-03-01,AGO,173.48
747,1996-04-01,AGO,82.34
748,1996-05-01,AGO,17.18
749,1996-06-01,AGO,1.2
750,1996-07-01,AGO,0.36
751,1996-08-01,AGO,1.91
752,1996-09-01,AGO,16.86
753,1996-10-01,AGO,37.2
754,1996-11-01,AGO,99.93
755,1996-12-01,AGO,128.85
756,1997-01-01,AGO,115.21
757,1997-02-01,AGO,140.86
758,1997-03-01,AGO,183.68
759,1997-04-01,AGO,55.63
760,1997-05-01,AGO,9.4
761,1997-06-01,AGO,1.17
762,1997-07-01,AGO,0.39
763,1997-08-01,AGO,2.23
764,1997-09-01,AGO,25.37
765,1997-10-01,AGO,117.64
766,1997-11-01,AGO,122.51
767,1997-12-01,AGO,197.37
768,1998-01-01,AGO,160.53
769,1998-02-01,AGO,124.55
770,1998-03-01,AGO,190.87
771,1998-04-01,AGO,84.5
772,1998-05-01,AGO,13.44
773,1998-06-01,AGO,0.87
774,1998-07-01,AGO,0.7
775,1998-08-01,AGO,2.53
776,1998-09-01,AGO,25.64
777,1998-10-01,AGO,70.76
778,1998-11-01,AGO,163.75
779,1998-12-01,AGO,159.52
780,1999-01-01,AGO,145.82
781,1999-02-01,AGO,145.06
782,1999-03-01,AGO,194.86
783,1999-04-01,AGO,112.52
784,1999-05-01,AGO,43.12
785,1999-06-01,AGO,2.17
786,1999-07-01,AGO,0.84
787,1999-08-01,AGO,2.76
788,1999-09-01,AGO,15.37
789,1999-10-01,AGO,62.13
790,1999-11-01,AGO,164.7
791,1999-12-01,AGO,247.65
792,2000-01-01,AGO,147.65
793,2000-02-01,AGO,118.12
794,2000-03-01,AGO,194.42
795,2000-04-01,AGO,125.19
796,2000-05-01,AGO,37.8
797,2000-06-01,AGO,0.92
798,2000-07-01,AGO,0.47
799,2000-08-01,AGO,1.15
800,2000-09-01,AGO,17.46
801,2000-10-01,AGO,77.83
802,2000-11-01,AGO,66.22
803,2000-12-01,AGO,126.22
804,2001-01-01,AGO,142.07
805,2001-02-01,AGO,192.82
806,2001-03-01,AGO,192.46
807,2001-04-01,AGO,162.68
808,2001-05-01,AGO,11.31
809,2001-06-01,AGO,1.68
810,2001-07-01,AGO,0.4
811,2001-08-01,AGO,1.7
812,2001-09-01,AGO,21.3
813,2001-10-01,AGO,34.82
814,2001-11-01,AGO,128.81
815,2001-12-01,AGO,89.21
816,2002-01-01,AGO,160.19
817,2002-02-01,AGO,182.88
818,2002-03-01,AGO,212.4
819,2002-04-01,AGO,120.56
